year,Site,Env,Date,D20.air,D20cum.air,D20.apex,D20cum.apex,Tmin.air,Tmax.air,Tmean.air,RHmin.air,RHmax.air,RHmean.air,Raincum,Windspeedmax,ET0.air,Rad,Ri,VPD.air,VPD.apex,Tmax.apex,nbHourSupTmax.apex,Tnight,WW.median3060,WD.median3060,WW.30,WW.60,WD.30,WD.60,type
2012,Gaillac,Gai12,2012-05-21,0.38382247,0.38382247,0.4017212526,0.4017212526,9.6,13.1,11.35,86,92,89,26,5.4375,1.0848608323,3.96,0.006,0.1413141585,0.1578830679,13.288533659,0,11.42,NA,NA,NA,NA,NA,NA,CrossValidation
2012,Gaillac,Gai12,2012-05-22,0.5249961365,0.9088186066,0.538275679,0.9399969316,11.3,17.6,14.45,59,92,75.5,0,6.1916666667,2.2835238082,5.1,0.008,0.6895530699,0.7671380513,17.5740911034,0,14.1571428571,NA,NA,NA,NA,NA,NA,CrossValidation
2012,Gaillac,Gai12,2012-05-23,0.5882208771,1.4970394837,0.6351290441,1.5751259757,12.9,19,15.95,74,90,82,0,3.4916666667,1.6080603254,4.77,0.008,0.4538432577,0.5253315074,18.5329184418,0,14.72,NA,NA,NA,NA,NA,NA,CrossValidation
2012,Gaillac,Gai12,2012-05-24,0.9890314415,2.4860709251,1.0333827998,2.6085087755,12.1,27,19.55,48,92,70,0,0.8458333333,3.4321836985,21.37,0.034,1.4279688042,1.5982883898,25.8561405193,0,16.7222222222,NA,NA,NA,NA,NA,NA,CrossValidation
2012,Gaillac,Gai12,2012-05-25,1.3484068027,3.8344777278,1.3439789854,3.9524877609,12.5,31,21.75,30,92,61,0,2.025,5.2171567709,28.38,0.046,2.5789502718,2.7644728324,29.5703133069,0,18.9888888889,NA,NA,NA,NA,NA,NA,CrossValidation
2012,Gaillac,Gai12,2012-05-26,0.9767565078,4.8112342356,1.048775962,5.0012637229,15.6,23.4,19.5,56,82,69,0,3.4875,4.270795203,24.66,0.04,0.8256084839,1.2970084903,24.9704235653,0,17.3454545455,NA,NA,NA,NA,NA,NA,CrossValidation
2012,Gaillac,Gai12,2012-05-27,1.0450063392,5.8562405749,1.0606708784,6.0619346013,16.2,25.8,21,47,87,67,0,1.7083333333,3.3955165863,17.37,0.032,1.4203162175,1.5952911324,25.2553153531,0,16.6111111111,NA,NA,NA,NA,NA,NA,CrossValidation
2012,Gaillac,Gai12,2012-05-28,1.0968643237,6.9531048985,1.1375984413,7.1995330426,13.6,16.4,15,35,86,60.5,0,1.6333333333,3.5539505069,26.17,0.06,1.8543319343,2.0099170703,26.2301772177,0,15.88,NA,NA,NA,NA,NA,NA,CrossValidation
2012,Gaillac,Gai12,2012-05-29,1.2268419063,8.1799468048,1.2414163937,8.4409494363,11.8,29.3,20.55,28,89,58.5,0,1.625,4.790436379,28.62,0.094,2.4759086485,2.4946157183,27.781650629,0,16.96,NA,NA,NA,NA,NA,NA,CrossValidation
2012,Gaillac,Gai12,2012-05-30,0.9818816307,9.1618284355,1.0050048597,9.445954296,12.6,26.8,19.7,48,89,68.5,0,1.35,3.1731688777,17.02,0.08,1.3341067016,1.5084171829,25.7114739283,0,17.05,NA,NA,NA,NA,NA,NA,CrossValidation
2012,Gaillac,Gai12,2012-05-31,1.0238515301,10.1856799657,1.0505640524,10.4965183483,13.8,26.6,20.2,44,91,67.5,0,1.6166666667,3.5456888374,19.18,0.14,1.5502802588,1.6322651095,25.970437994,0,16.0333333333,NA,NA,NA,NA,NA,NA,CrossValidation
2012,Gaillac,Gai12,2012-06-01,1.3551737971,11.5408537628,1.353122819,11.8496411674,11.4,31.8,21.6,25,90,57.5,0,1.1833333333,4.7036856549,28.82,0.317,2.9341999192,2.8763682858,29.3575104168,0,19.6222222222,NA,NA,NA,NA,NA,NA,CrossValidation
2012,Gaillac,Gai12,2012-06-02,1.4651307012,13.0059844639,1.4271383755,13.2767795429,14.2,33.5,23.85,32,80,56,0,2.6416666667,5.4066123183,22.79,0.341,2.4958421988,2.8065054365,30.8067596226,2,18.5545454545,NA,NA,NA,NA,NA,NA,CrossValidation
